L,rate
0,375953.815690051
0.01,375927.531178337
0.02,375901.244744032
0.03,375874.956384524
0.04,375848.666094689
0.05,375822.37386946
0.06,375796.079709726
0.07,375769.783607921
0.08,375743.485562146
0.09,375717.185568122
0.1,375690.883624223
0.11,375664.579721838
0.12,375638.273861323
0.13,375611.966036888
0.14,375585.656246068
0.15,375559.344486465
0.16,375533.03075229
0.17,375506.715041626
0.18,375480.397348279
0.19,375454.077669791
0.2,375427.756002901
0.21,375401.432344291
0.22,375375.106688486
0.23,375348.779033189
0.24,375322.449376014
0.25,375296.117709729
0.26,375269.784033079
0.27,375243.448344072
0.28,375217.110635109
0.29,375190.770905024
0.3,375164.429149832
0.31,375138.085364664
0.32,375111.739547297
0.33,375085.391692975
0.34,375059.041799926
0.35,375032.689861974
0.36,375006.335876828
0.37,374979.979840347
0.38,374953.621751373
0.39,374927.261601389
0.4,374900.899391213
0.41,374874.535114348
0.42,374848.168767774
0.43,374821.800348798
0.44,374795.429854307
0.45,374769.057277731
0.46,374742.682617549
0.47,374716.305872051
0.48,374689.927033281
0.49,374663.546100606
0.5,374637.163068349
0.51,374610.777934506
0.52,374584.390696248
0.53,374558.001346503
0.54,374531.609885344
0.55,374505.216307167
0.56,374478.820608511
0.57,374452.422784958
0.58,374426.022834727
0.59,374399.620754247
0.6,374373.216538278
0.61,374346.81018222
0.62,374320.401685997
0.63,374293.991043677
0.64,374267.578252639
0.65,374241.16330625
0.66,374214.746204834
0.67,374188.326942852
0.68,374161.90551882
0.69,374135.48192591
0.7,374109.056163761
0.71,374082.628224196
0.72,374056.198106522
0.73,374029.765809486
0.74,374003.331325658
0.75,373976.894651054
0.76,373950.455784232
0.77,373924.014723014
0.78,373897.571461224
0.79,373871.125995292
0.8,373844.678321833
0.81,373818.228438655
0.82,373791.776338705
0.83,373765.322024764
0.84,373738.865485661
0.85,373712.406724044
0.86,373685.945732806
0.87,373659.482508766
0.88,373633.017049339
0.89,373606.549350582
0.9,373580.079406233
0.91,373553.607218839
0.92,373527.132777214
0.93,373500.656084028
0.94,373474.177135071
0.95,373447.695922148
0.96,373421.212445436
0.97,373394.726701178
0.98,373368.238683926
0.99,373341.748391744
1,373315.255821129
1.01,373288.760965446
1.02,373262.263825729
1.03,373235.764395967
1.04,373209.262674081
1.05,373182.758655719
1.06,373156.252334022
1.07,373129.743709027
1.08,373103.232778138
1.09,373076.719535207
1.1,373050.203976505
1.11,373023.686099929
1.12,372997.165902339
1.13,372970.64338021
1.14,372944.11852618
1.15,372917.591340114
1.16,372891.061820742
1.17,372864.529958665
1.18,372837.995756447
1.19,372811.459204604
1.2,372784.920303218
1.21,372758.379048301
1.22,372731.835434876
1.23,372705.289460927
1.24,372678.741123693
1.25,372652.190417762
1.26,372625.63734003
1.27,372599.081884616
1.28,372572.524052431
1.29,372545.963838179
1.3,372519.401239983
1.31,372492.836249171
1.32,372466.26886674
1.33,372439.699087827
1.34,372413.126909726
1.35,372386.552325649
1.36,372359.975337445
1.37,372333.395937681
1.38,372306.814122338
1.39,372280.229889777
1.4,372253.64323726
1.41,372227.05415969
1.42,372200.462652248
1.43,372173.868714236
1.44,372147.272343044
1.45,372120.673527814
1.46,372094.072274379
1.47,372067.468573119
1.48,372040.862424406
1.49,372014.253820348
1.5,371987.642759557
1.51,371961.029241922
1.52,371934.413258289
1.53,371907.794806939
1.54,371881.173886486
1.55,371854.550493383
1.56,371827.924620013
1.57,371801.296266756
1.58,371774.665429006
1.59,371748.032104603
1.6,371721.396286086
1.61,371694.757973902
1.62,371668.117162152
1.63,371641.473848825
1.64,371614.828029623
1.65,371588.179702986
1.66,371561.528863234
1.67,371534.875503408
1.68,371508.219628055
1.69,371481.561228628
1.7,371454.900303191
1.71,371428.236846424
1.72,371401.570857509
1.73,371374.902331034
